timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,1.303069,103.798836,17.741842,-1.000000,-1.000000,1501240150.434109,
,,,,,,,,,,,,,,,,1.303069,103.798836,17.741842,-1.000000,-1.000000,1501240147.020212,
,,,,,,,,,,,,,,,,1.303069,103.798836,17.741842,-1.000000,-1.000000,1501240150.436372,
,,,,,,,,,,,,,,,,1.303069,103.798836,17.741842,-1.000000,-1.000000,1501240150.436793,
1501240151.236950,0.069644,0.299183,-0.314052,-0.218785,-0.285975,0.030712,0.066497,-0.294739,-0.953261,0.001924,0.003739,0.001586,-19.358816,-35.247868,6.373459,,,,,,,
1501240152.236766,-0.082666,0.209976,-0.188705,0.002699,-0.254341,0.104735,-0.080758,-0.208436,-0.974696,0.036767,-0.011382,0.014689,-18.861792,-34.042046,7.245664,,,,,,,
1501240153.236580,0.037102,0.204361,-0.111741,0.000922,0.140640,0.004054,0.036321,-0.202942,-0.978517,-0.023016,-0.001068,0.030656,-22.164274,-32.505238,4.391123,,,,,,,
,,,,,,,,,,,,,,,,1.302727,103.798442,-2.033875,0.370000,319.218750,1501240152.936913,
,,,,,,,,,,,,,,,,1.302729,103.798443,-1.874237,0.370000,319.218750,1501240153.031930,
,,,,,,,,,,,,,,,,1.302729,103.798443,-1.874237,0.370000,319.218750,1501240153.031930,
,,,,,,,,,,,,,,,,1.302729,103.798443,-0.515747,0.000000,-1.000000,1501240154.005325,
1501240154.236385,0.014370,0.223580,-0.097726,-0.008183,0.028708,-0.036315,0.014012,-0.221722,-0.975009,0.000194,0.000623,-0.000836,-22.547544,-32.084049,5.417514,,,,,,,
