timestamp(unix),latitude(degree),longitude(degree)
1501240150.436372,1.303069,103.798836
1501240150.436793,1.303069,103.798836
1501240152.936913,1.302727,103.798442
1501240153.031930,1.302729,103.798443
1501240154.005325,1.302729,103.798443
1501240155.001066,1.302729,103.798443
1501240156.000010,1.302729,103.798443
1501240157.000008,1.302729,103.798443
1501240158.000138,1.302729,103.798443
1501240159.000099,1.302729,103.798443
1501240160.000096,1.302729,103.798443
1501240161.000096,1.302729,103.798443
1501240162.000115,1.302729,103.798443
1501240163.000073,1.302729,103.798443
1501240164.000055,1.302729,103.798443
1501240164.999987,1.302729,103.798443
1501240165.999988,1.302729,103.798443
1501240166.999987,1.302729,103.798443
1501240167.999987,1.302729,103.798443
1501240168.999990,1.302729,103.798443
1501240169.999987,1.302729,103.798443
1501240170.999988,1.302729,103.798443
1501240171.999988,1.302715,103.798474
1501240172.999987,1.302715,103.798474
1501240173.999987,1.302708,103.798476
1501240174.999987,1.302708,103.798470
1501240175.999988,1.302713,103.798468
1501240176.999987,1.302716,103.798483
1501240177.999988,1.302716,103.798483
1501240178.999988,1.302716,103.798483
1501240179.999987,1.302716,103.798483
1501240180.999989,1.302716,103.798483
1501240181.999986,1.302716,103.798483
1501240182.999988,1.302716,103.798483
1501240183.999987,1.302716,103.798483
1501240184.999987,1.302716,103.798483
1501240185.999988,1.302716,103.798483
1501240186.999987,1.302716,103.798483
1501240187.999988,1.302716,103.798483
1501240188.999987,1.302716,103.798483
1501240189.999988,1.302716,103.798483
1501240190.999989,1.302716,103.798483
1501240191.999987,1.302716,103.798483
1501240192.999988,1.302716,103.798483
1501240193.999986,1.302716,103.798483
1501240194.999987,1.302716,103.798483
1501240195.999987,1.302716,103.798483
1501240196.999987,1.302716,103.798483
1501240197.999987,1.302716,103.798483
1501240198.999987,1.302716,103.798483
1501240199.999988,1.302716,103.798483
1501240200.999988,1.302716,103.798483
1501240201.999988,1.302716,103.798483
1501240202.999987,1.302716,103.798483
1501240203.999987,1.302716,103.798483
1501240204.999987,1.302712,103.798518
1501240205.999988,1.302714,103.798523
1501240206.999987,1.302700,103.798523
1501240207.999987,1.302697,103.798530
1501240208.999987,1.302678,103.798539
1501240209.999988,1.302673,103.798541
1501240210.999987,1.302673,103.798541
1501240211.999988,1.302673,103.798541
1501240212.999988,1.302673,103.798541
1501240213.999987,1.302672,103.798543
1501240214.999988,1.302672,103.798543
1501240215.999987,1.302672,103.798543
1501240216.999988,1.302672,103.798543
1501240217.999988,1.302672,103.798543
1501240218.999987,1.302672,103.798543
1501240219.999987,1.302672,103.798543
1501240220.999988,1.302672,103.798543
1501240221.999988,1.302672,103.798543
1501240222.999988,1.302672,103.798543
1501240223.999988,1.302672,103.798543
1501240224.999988,1.302672,103.798543
1501240225.999987,1.302672,103.798543
1501240226.999987,1.302672,103.798543
1501240227.999988,1.302672,103.798543
1501240228.999988,1.302672,103.798543
1501240229.999988,1.302672,103.798543
1501240230.999988,1.302672,103.798543
1501240231.999987,1.302661,103.798569
1501240232.999988,1.302655,103.798580
1501240233.999988,1.302647,103.798587
1501240234.999988,1.302641,103.798593
1501240235.999988,1.302637,103.798596
1501240236.999987,1.302633,103.798597
1501240237.999987,1.302633,103.798597
1501240238.999988,1.302633,103.798597
1501240239.999988,1.302624,103.798596
1501240240.999987,1.302624,103.798596
1501240241.999987,1.302624,103.798596
1501240242.999988,1.302624,103.798596
1501240243.999988,1.302624,103.798596
1501240244.999987,1.302624,103.798596
1501240245.999988,1.302624,103.798596
1501240246.999987,1.302624,103.798596
1501240247.999988,1.302624,103.798596
1501240248.999987,1.302624,103.798596
1501240249.999988,1.302624,103.798596
1501240250.999988,1.302624,103.798596
1501240251.999987,1.302624,103.798596
1501240252.999987,1.302624,103.798596
1501240253.999987,1.302624,103.798596
1501240254.999987,1.302624,103.798596
1501240255.999988,1.302624,103.798596
1501240256.999987,1.302624,103.798596
1501240257.999988,1.302624,103.798596
1501240258.999986,1.302592,103.798600
1501240259.999987,1.302583,103.798606
1501240260.999987,1.302575,103.798612
1501240261.999988,1.302569,103.798617
1501240262.999988,1.302562,103.798625
1501240263.999987,1.302556,103.798632
1501240264.999987,1.302552,103.798635
1501240265.999988,1.302552,103.798635
1501240266.999987,1.302552,103.798635
1501240267.999988,1.302552,103.798635
1501240268.999987,1.302552,103.798635
1501240269.999987,1.302552,103.798635
1501240270.999987,1.302552,103.798635
1501240271.999987,1.302552,103.798635
1501240272.999987,1.302552,103.798635
1501240273.999987,1.302552,103.798635
1501240274.999986,1.302552,103.798635
1501240275.999987,1.302552,103.798635
1501240276.999988,1.302552,103.798635
1501240277.999987,1.302552,103.798635
1501240278.999987,1.302552,103.798635
1501240279.999987,1.302552,103.798635
1501240280.999988,1.302552,103.798635
1501240281.999987,1.302552,103.798635
1501240282.999988,1.302552,103.798635
1501240283.999987,1.302552,103.798635
1501240284.999987,1.302552,103.798635
1501240285.999986,1.302552,103.798635
1501240286.999988,1.302535,103.798645
1501240287.999988,1.302541,103.798647
1501240288.999987,1.302543,103.798652
1501240289.999987,1.302553,103.798657
1501240290.999987,1.302548,103.798663
1501240291.999987,1.302545,103.798670
1501240292.999987,1.302541,103.798676
1501240293.999987,1.302541,103.798676
1501240294.999988,1.302538,103.798679
1501240295.999987,1.302538,103.798679
1501240296.999987,1.302538,103.798679
1501240297.999988,1.302538,103.798679
1501240298.999988,1.302538,103.798679
1501240299.999988,1.302538,103.798679
1501240300.999987,1.302538,103.798679
1501240301.999987,1.302538,103.798679
1501240302.999988,1.302538,103.798679
1501240303.999987,1.302538,103.798679
1501240304.999987,1.302538,103.798679
1501240305.999987,1.302538,103.798679
1501240306.999989,1.302538,103.798679
1501240307.999987,1.302538,103.798679
1501240308.999987,1.302538,103.798679
1501240309.999987,1.302510,103.798698
1501240310.999987,1.302510,103.798698
1501240311.999987,1.302510,103.798698
1501240312.999988,1.302510,103.798698
1501240313.999988,1.302510,103.798698
1501240314.999988,1.302510,103.798698
1501240315.999988,1.302510,103.798698
1501240316.999987,1.302510,103.798698
1501240317.999987,1.302510,103.798698
1501240318.999987,1.302510,103.798698
1501240319.999986,1.302510,103.798698
1501240320.999988,1.302510,103.798698
1501240321.999987,1.302510,103.798698
1501240322.999988,1.302496,103.798705
1501240323.999987,1.302490,103.798709
1501240324.999988,1.302481,103.798716
1501240325.999987,1.302469,103.798721
1501240326.999988,1.302459,103.798728
1501240327.999988,1.302449,103.798738
1501240328.999988,1.302441,103.798745
1501240329.999987,1.302441,103.798745
1501240330.999987,1.302441,103.798745
1501240331.999987,1.302441,103.798745
1501240332.999988,1.302441,103.798745
1501240333.999988,1.302441,103.798745
1501240334.999987,1.302441,103.798745
1501240335.999987,1.302441,103.798745
1501240336.999987,1.302441,103.798745
1501240337.999987,1.302441,103.798745
1501240338.999987,1.302441,103.798745
1501240339.999987,1.302441,103.798745
1501240340.999988,1.302441,103.798745
1501240341.999987,1.302441,103.798745
1501240342.999987,1.302441,103.798745
1501240343.999988,1.302441,103.798745
1501240344.999987,1.302441,103.798745
1501240345.999988,1.302441,103.798745
1501240346.999988,1.302441,103.798745
1501240347.999988,1.302419,103.798755
1501240348.999988,1.302409,103.798765
1501240349.999988,1.302396,103.798776
1501240350.999988,1.302384,103.798783
1501240351.999987,1.302373,103.798789
1501240352.999988,1.302362,103.798797
1501240353.999988,1.302362,103.798797
1501240354.999988,1.302362,103.798797
1501240355.999987,1.302362,103.798797
1501240356.999988,1.302362,103.798797
1501240357.999988,1.302362,103.798797
1501240358.999988,1.302362,103.798797
1501240359.999988,1.302362,103.798797
1501240360.999988,1.302362,103.798797
1501240361.999988,1.302362,103.798797
1501240362.999988,1.302362,103.798797
1501240363.999987,1.302362,103.798797
1501240364.999988,1.302362,103.798797
1501240365.999988,1.302350,103.798809
1501240366.997390,1.302350,103.798809
1501240367.995020,1.302350,103.798809
1501240368.995020,1.302350,103.798809
1501240369.995020,1.302350,103.798809
1501240370.995020,1.302350,103.798809
1501240371.995021,1.302350,103.798809
1501240372.995021,1.302350,103.798809
1501240373.995021,1.302350,103.798809
1501240374.995019,1.302350,103.798809
1501240375.995021,1.302350,103.798809
1501240376.995021,1.302350,103.798809
1501240377.995021,1.302350,103.798809
1501240378.995021,1.302350,103.798809
1501240379.995020,1.302350,103.798809
1501240380.995020,1.302350,103.798809
1501240381.995021,1.302350,103.798809
1501240382.995020,1.302332,103.798846
1501240383.995020,1.302320,103.798861
1501240384.995020,1.302313,103.798874
1501240385.995021,1.302300,103.798888
1501240386.995020,1.302294,103.798890
1501240387.995020,1.302291,103.798891
1501240388.995021,1.302291,103.798891
1501240389.995020,1.302291,103.798891
1501240390.995020,1.302291,103.798891
1501240391.995020,1.302291,103.798891
1501240392.995020,1.302291,103.798891
1501240393.995020,1.302291,103.798891
1501240394.995020,1.302291,103.798891
1501240395.995020,1.302291,103.798891
1501240396.995020,1.302291,103.798891
1501240397.995020,1.302291,103.798891
1501240398.995021,1.302291,103.798891
1501240399.995020,1.302291,103.798891
1501240400.995020,1.302291,103.798891
1501240401.995020,1.302291,103.798891
1501240402.995020,1.302291,103.798891
1501240403.995020,1.302291,103.798891
1501240404.995020,1.302291,103.798891
1501240405.995020,1.302291,103.798891
1501240406.995020,1.302291,103.798891
1501240407.995021,1.302291,103.798891
1501240408.995020,1.302291,103.798891
1501240409.995020,1.302291,103.798891
1501240410.995020,1.302291,103.798891
1501240411.995021,1.302291,103.798891
1501240412.995021,1.302291,103.798891
1501240413.995020,1.302291,103.798891
1501240414.995021,1.302291,103.798891
1501240415.995021,1.302291,103.798891
1501240416.995020,1.302291,103.798891
1501240417.995020,1.302289,103.798910
1501240418.995021,1.302281,103.798912
1501240419.995021,1.302272,103.798917
1501240420.995020,1.302256,103.798923
1501240421.995020,1.302240,103.798935
1501240422.995021,1.302227,103.798950
1501240423.995021,1.302220,103.798959
1501240424.995020,1.302220,103.798959
1501240425.995020,1.302220,103.798959
1501240426.995021,1.302220,103.798959
1501240427.995021,1.302220,103.798959
1501240428.995020,1.302220,103.798959
1501240429.995020,1.302172,103.798971
1501240430.995020,1.302172,103.798971
1501240431.995020,1.302172,103.798971
1501240432.995021,1.302172,103.798971
1501240433.995021,1.302172,103.798971
1501240434.995020,1.302172,103.798971
1501240435.995021,1.302172,103.798971
1501240436.995021,1.302172,103.798971
1501240437.995020,1.302172,103.798971
1501240438.995020,1.302172,103.798971
1501240439.995021,1.302172,103.798971
1501240440.995020,1.302172,103.798971
1501240441.995020,1.302172,103.798971
1501240442.995020,1.302172,103.798971
1501240443.995020,1.302172,103.798971
1501240444.995020,1.302172,103.798971
1501240445.995021,1.302172,103.798971
1501240446.995020,1.302172,103.798971
1501240447.995021,1.302172,103.798971
1501240448.995020,1.302127,103.798986
1501240449.995020,1.302127,103.798986
1501240450.995020,1.302127,103.798986
1501240451.995021,1.302119,103.798992
1501240452.995020,1.302113,103.798994
1501240453.995021,1.302106,103.798997
1501240454.995020,1.302097,103.799002
1501240455.995020,1.302091,103.799005
1501240456.995020,1.302084,103.799013
1501240457.995020,1.302084,103.799019
1501240458.995021,1.302084,103.799019
1501240459.995021,1.302084,103.799019
1501240460.995021,1.302084,103.799019
1501240461.995020,1.302084,103.799019
1501240462.995021,1.302084,103.799019
1501240463.995021,1.302084,103.799019
1501240464.995020,1.302084,103.799019
1501240465.995021,1.302084,103.799019
1501240466.995020,1.302084,103.799019
1501240467.995020,1.302084,103.799019
1501240468.995020,1.302124,103.799020
1501240469.995020,1.302124,103.799020
1501240470.995021,1.302124,103.799021
1501240471.995021,1.302124,103.799021
1501240472.995020,1.302124,103.799021
1501240473.995020,1.302124,103.799021
1501240474.995019,1.302124,103.799021
1501240475.995020,1.302124,103.799021
1501240476.995020,1.302124,103.799021
1501240477.995021,1.302124,103.799021
1501240478.995020,1.302124,103.799021
1501240479.995020,1.302124,103.799021
1501240480.995020,1.302124,103.799021
1501240481.995020,1.302124,103.799021
1501240482.995020,1.302124,103.799021
1501240483.995020,1.302125,103.799022
1501240484.995021,1.302121,103.799024
1501240485.995020,1.302116,103.799035
1501240486.995020,1.302109,103.799049
1501240487.995020,1.302100,103.799062
1501240488.995020,1.302092,103.799073
1501240489.995019,1.302085,103.799084
1501240490.995020,1.302081,103.799089
1501240491.995021,1.302081,103.799089
1501240492.995021,1.302081,103.799089
1501240493.995020,1.302081,103.799089
1501240494.995020,1.302081,103.799089
1501240495.995020,1.302081,103.799089
1501240496.995021,1.302081,103.799089
1501240497.995021,1.302081,103.799089
1501240498.995021,1.302081,103.799089
1501240499.995020,1.302081,103.799089
1501240500.995021,1.302081,103.799089
1501240501.995020,1.302081,103.799089
1501240502.995021,1.302081,103.799089
1501240503.995020,1.302081,103.799089
1501240504.995020,1.302081,103.799089
1501240505.995019,1.302081,103.799089
1501240506.995020,1.302081,103.799089
1501240507.995021,1.302081,103.799089
1501240508.995020,1.302081,103.799089
1501240509.995021,1.302081,103.799089
1501240510.995021,1.302081,103.799089
1501240511.995021,1.302081,103.799089
1501240512.995020,1.302081,103.799089
1501240513.995021,1.302081,103.799089
1501240514.995021,1.302081,103.799089
1501240515.995020,1.302081,103.799089
1501240516.995021,1.302081,103.799089
1501240517.995021,1.302081,103.799089
1501240518.995021,1.302081,103.799089
1501240519.995020,1.302081,103.799089
1501240520.995020,1.302081,103.799089
1501240521.995021,1.302081,103.799089
1501240522.995021,1.302081,103.799089
1501240523.995020,1.302096,103.799087
1501240524.995021,1.302092,103.799096
1501240525.995021,1.302085,103.799107
1501240526.995021,1.302074,103.799112
1501240527.995021,1.302061,103.799117
1501240528.995021,1.302051,103.799128
1501240529.995020,1.302044,103.799140
1501240530.995021,1.302038,103.799146
1501240531.995020,1.302038,103.799146
1501240532.995021,1.302038,103.799146
1501240533.995021,1.302038,103.799146
1501240534.995020,1.302038,103.799146
1501240535.995020,1.302038,103.799146
1501240536.995020,1.302038,103.799146
1501240537.995020,1.302038,103.799146
1501240538.995020,1.302038,103.799146
1501240539.995020,1.302038,103.799146
1501240540.995020,1.302038,103.799146
1501240541.995021,1.302038,103.799146
1501240542.995021,1.302038,103.799146
1501240543.995020,1.302038,103.799146
1501240544.995020,1.302038,103.799146
1501240545.995020,1.302038,103.799146
1501240546.995020,1.302038,103.799146
1501240547.995020,1.302038,103.799146
1501240548.995020,1.302038,103.799146
1501240549.995021,1.302038,103.799146
1501240550.995020,1.302038,103.799146
1501240551.995020,1.302038,103.799146
1501240552.995020,1.302038,103.799146
1501240553.995020,1.302038,103.799146
1501240554.995021,1.302038,103.799146
1501240555.995020,1.302038,103.799146
1501240556.995020,1.302038,103.799146
1501240557.995021,1.302038,103.799146
1501240558.995020,1.302011,103.799162
1501240559.995021,1.302005,103.799170
1501240560.995021,1.301998,103.799181
1501240561.995020,1.301994,103.799194
1501240562.995020,1.301986,103.799203
1501240563.995020,1.301979,103.799210
1501240564.995020,1.301974,103.799216
1501240565.995021,1.301971,103.799218
1501240566.995021,1.301971,103.799218
1501240567.995021,1.301971,103.799218
1501240568.995021,1.301971,103.799218
1501240569.995020,1.301971,103.799218
1501240570.995021,1.301971,103.799218
1501240571.995020,1.301971,103.799218
1501240572.995020,1.301971,103.799218
1501240573.995020,1.301971,103.799218
1501240574.995020,1.301971,103.799218
1501240575.995020,1.301971,103.799218
1501240576.995021,1.301971,103.799218
1501240577.995021,1.301971,103.799218
1501240578.995021,1.301971,103.799218
1501240579.995020,1.301971,103.799218
1501240580.995021,1.301971,103.799218
1501240581.995019,1.301971,103.799218
1501240582.995020,1.301971,103.799218
1501240583.995021,1.301971,103.799218
1501240584.995020,1.301971,103.799218
1501240585.995020,1.301971,103.799218
1501240587.001626,1.301971,103.799218
1501240587.999829,1.301971,103.799218
1501240589.000010,1.301971,103.799218
1501240590.000047,1.301971,103.799218
1501240591.000059,1.301971,103.799218
1501240592.000087,1.301971,103.799218
1501240593.000109,1.301971,103.799218
1501240593.999946,1.301974,103.799221
1501240595.000077,1.301964,103.799231
1501240595.999926,1.301954,103.799246
1501240596.999926,1.301945,103.799262
1501240597.999926,1.301937,103.799278
1501240598.999926,1.301934,103.799286
1501240599.999927,1.301929,103.799298
1501240600.999927,1.301923,103.799311
1501240601.999926,1.301923,103.799311
1501240602.999926,1.301923,103.799311
1501240603.999926,1.301923,103.799311
1501240604.999926,1.301923,103.799311
1501240605.999926,1.301923,103.799311
1501240606.999926,1.301923,103.799311
1501240607.999927,1.301923,103.799311
1501240608.999927,1.301923,103.799311
1501240609.999927,1.301923,103.799311
1501240610.999927,1.301923,103.799311
1501240611.999926,1.301923,103.799311
1501240612.999926,1.301923,103.799311
1501240613.999926,1.301923,103.799311
1501240614.999926,1.301923,103.799311
1501240615.999927,1.301923,103.799311
1501240616.999926,1.301923,103.799311
1501240617.999926,1.301923,103.799311
1501240618.999927,1.301923,103.799311
1501240619.999926,1.301923,103.799311
1501240620.999926,1.301923,103.799311
1501240621.999927,1.301923,103.799311
1501240622.999927,1.301923,103.799311
1501240623.999926,1.301923,103.799311
1501240624.999926,1.301923,103.799311
1501240625.999926,1.301923,103.799311
1501240626.999926,1.301923,103.799311
1501240627.999927,1.301923,103.799347
1501240628.999926,1.301925,103.799357
1501240629.999926,1.301927,103.799368
1501240630.999927,1.301928,103.799378
1501240631.999927,1.301928,103.799390
1501240632.999926,1.301926,103.799401
1501240633.999926,1.301926,103.799401
1501240634.999926,1.301926,103.799401
1501240635.999926,1.301926,103.799401
1501240636.999927,1.301926,103.799401
1501240637.999927,1.301927,103.799409
1501240638.999927,1.301927,103.799409
1501240639.999927,1.301927,103.799409
1501240640.999926,1.301927,103.799409
1501240641.999927,1.301927,103.799409
1501240642.999926,1.301940,103.799412
1501240643.999927,1.301942,103.799407
1501240644.999927,1.301940,103.799396
1501240645.999926,1.301940,103.799396
1501240646.999927,1.301940,103.799396
1501240647.999927,1.301940,103.799396
1501240648.999926,1.301940,103.799396
1501240649.999927,1.301940,103.799396
1501240650.999926,1.301940,103.799396
1501240651.999926,1.301926,103.799397
1501240652.999926,1.301923,103.799412
1501240653.999927,1.301921,103.799426
1501240654.999927,1.301919,103.799437
1501240655.999926,1.301917,103.799451
1501240656.999927,1.301914,103.799455
1501240657.999926,1.301916,103.799455
1501240658.999926,1.301916,103.799455
1501240659.999927,1.301916,103.799455
1501240660.999926,1.301916,103.799455
1501240661.999927,1.301916,103.799455
1501240662.999926,1.301916,103.799455
1501240663.999926,1.301916,103.799455
1501240664.999926,1.301916,103.799455
1501240665.999926,1.301916,103.799455
1501240666.999927,1.301916,103.799455
1501240667.999926,1.301916,103.799455
1501240668.999927,1.301916,103.799455
1501240669.999926,1.301916,103.799455
1501240670.999926,1.301916,103.799455
1501240671.999927,1.301916,103.799455
1501240672.999926,1.301916,103.799455
1501240673.999926,1.301916,103.799455
1501240674.999927,1.301916,103.799455
1501240675.999927,1.301916,103.799455
1501240676.999927,1.301916,103.799455
1501240677.999926,1.301916,103.799455
1501240678.999926,1.301916,103.799455
1501240679.999926,1.301916,103.799455
1501240681.000489,1.301916,103.799455
1501240681.999927,1.301916,103.799455
1501240682.999927,1.301916,103.799455
1501240683.999927,1.301952,103.799467
1501240684.999926,1.301960,103.799478
1501240685.999926,1.301969,103.799490
1501240686.999926,1.301975,103.799501
1501240687.999926,1.301980,103.799512
1501240688.999926,1.301986,103.799521
1501240689.999927,1.301990,103.799523
1501240690.999927,1.301990,103.799523
1501240691.999927,1.301990,103.799523
1501240692.999927,1.301990,103.799523
1501240693.999926,1.301993,103.799507
1501240694.999926,1.301993,103.799507
1501240695.999926,1.301993,103.799507
1501240696.999927,1.301993,103.799507
1501240697.999926,1.301993,103.799507
1501240698.999925,1.301993,103.799507
1501240699.999927,1.301993,103.799507
1501240700.999926,1.301993,103.799507
1501240701.999926,1.301993,103.799507
1501240702.999926,1.301993,103.799507
1501240703.999927,1.301993,103.799507
1501240704.999926,1.301993,103.799507
1501240705.999927,1.301993,103.799507
1501240706.999927,1.301993,103.799507
1501240707.999927,1.301993,103.799507
1501240708.999927,1.301993,103.799507
1501240709.999926,1.301993,103.799507
1501240710.999927,1.301993,103.799507
1501240711.999926,1.301993,103.799507
1501240712.999927,1.301993,103.799507
1501240713.999927,1.301993,103.799507
1501240714.999926,1.301993,103.799507
1501240715.999926,1.301993,103.799507
1501240716.999926,1.301993,103.799507
1501240717.999926,1.301993,103.799507
1501240718.999926,1.301993,103.799507
1501240719.999928,1.301993,103.799507
1501240720.999927,1.301993,103.799507
1501240721.999927,1.301993,103.799507
1501240722.999926,1.301993,103.799507
1501240723.999926,1.301997,103.799507
1501240724.999925,1.302001,103.799516
1501240725.999927,1.302004,103.799530
1501240726.999927,1.302009,103.799542
1501240727.999927,1.302012,103.799555
1501240728.999926,1.302016,103.799566
1501240729.999927,1.302021,103.799575
1501240730.999926,1.302025,103.799579
1501240731.999926,1.302025,103.799579
1501240732.999926,1.302025,103.799579
1501240733.999926,1.302025,103.799579
1501240734.999925,1.302025,103.799579
1501240735.999926,1.302025,103.799579
1501240736.999927,1.302025,103.799579
1501240737.999926,1.302025,103.799579
1501240738.999926,1.302025,103.799579
1501240739.999927,1.302025,103.799579
1501240740.999926,1.302025,103.799579
1501240741.999926,1.302025,103.799579
1501240742.999926,1.302025,103.799579
1501240743.999926,1.302025,103.799579
1501240744.999926,1.302025,103.799579
1501240745.999926,1.302025,103.799579
1501240746.999926,1.302025,103.799579
1501240747.999926,1.302025,103.799579
1501240748.999926,1.302025,103.799579
1501240749.999926,1.302025,103.799579
1501240750.999926,1.302025,103.799579
1501240751.999927,1.302029,103.799575
1501240752.999927,1.302036,103.799585
1501240753.999927,1.302046,103.799594
1501240754.999926,1.302055,103.799602
1501240755.999926,1.302061,103.799609
1501240756.999926,1.302068,103.799618
1501240757.999927,1.302074,103.799626
1501240758.999926,1.302077,103.799630
1501240759.999926,1.302077,103.799630
1501240760.999926,1.302077,103.799630
1501240761.999927,1.302077,103.799630
1501240762.999927,1.302077,103.799630
1501240763.999926,1.302077,103.799630
1501240764.999927,1.302077,103.799630
1501240765.999927,1.302077,103.799630
1501240766.999927,1.302077,103.799630
1501240767.999927,1.302077,103.799630
1501240768.999927,1.302077,103.799630
1501240769.999926,1.302077,103.799630
1501240770.999926,1.302077,103.799630
1501240771.999927,1.302077,103.799630
1501240772.999927,1.302077,103.799630
1501240773.999926,1.302077,103.799630
1501240774.999927,1.302077,103.799630
1501240775.999926,1.302077,103.799630
1501240776.999926,1.302077,103.799630
1501240777.999926,1.302077,103.799630
1501240778.999926,1.302077,103.799630
1501240779.999926,1.302077,103.799630
1501240780.999926,1.302077,103.799630
1501240781.999927,1.302077,103.799630
1501240782.999927,1.302084,103.799635
1501240783.999927,1.302096,103.799645
1501240784.999926,1.302105,103.799655
1501240785.999926,1.302116,103.799667
1501240786.999926,1.302126,103.799676
1501240787.999927,1.302135,103.799681
1501240788.999928,1.302135,103.799681
1501240789.999927,1.302135,103.799681
1501240790.999927,1.302135,103.799681
1501240791.999927,1.302135,103.799681
1501240792.999927,1.302135,103.799681
1501240793.999926,1.302135,103.799681
1501240794.999926,1.302135,103.799681
1501240795.999926,1.302135,103.799681
1501240796.999927,1.302135,103.799681
1501240797.999926,1.302135,103.799681
1501240798.999926,1.302135,103.799681
1501240799.999927,1.302135,103.799681
1501240800.999926,1.302135,103.799681
1501240801.999927,1.302135,103.799681
1501240802.999926,1.302135,103.799681
1501240803.999927,1.302135,103.799681
1501240804.999926,1.302135,103.799681
1501240805.999926,1.302135,103.799681
1501240806.999926,1.302135,103.799681
1501240807.999926,1.302135,103.799681
1501240808.999927,1.302135,103.799681
1501240809.999927,1.302135,103.799681
1501240810.999927,1.302135,103.799681
1501240811.999926,1.302135,103.799681
1501240812.999926,1.302135,103.799681
1501240813.999927,1.302135,103.799681
1501240814.999926,1.302135,103.799681
1501240815.999927,1.302135,103.799681
1501240816.999926,1.302135,103.799681
1501240817.999926,1.302135,103.799681
1501240818.999927,1.302135,103.799681
1501240819.999927,1.302135,103.799681
1501240820.999927,1.302166,103.799682
1501240821.999927,1.302174,103.799687
1501240822.999926,1.302181,103.799689
1501240823.999926,1.302191,103.799691
1501240824.999927,1.302203,103.799696
1501240825.999926,1.302214,103.799699
1501240826.999927,1.302221,103.799702
1501240827.999926,1.302225,103.799703
1501240828.999926,1.302225,103.799703
1501240829.999927,1.302231,103.799703
1501240830.999927,1.302231,103.799703
1501240831.999926,1.302231,103.799703
1501240832.999927,1.302231,103.799703
1501240833.999926,1.302231,103.799703
1501240834.999927,1.302231,103.799703
1501240835.999927,1.302231,103.799703
1501240836.999927,1.302231,103.799703
1501240837.999927,1.302231,103.799703
1501240838.999926,1.302231,103.799703
1501240839.999926,1.302231,103.799703
1501240840.999927,1.302231,103.799703
1501240841.999927,1.302231,103.799703
1501240842.999926,1.302231,103.799703
1501240843.999927,1.302231,103.799703
1501240844.999927,1.302231,103.799703
1501240845.999926,1.302231,103.799703
1501240846.999927,1.302231,103.799703
1501240847.999926,1.302231,103.799703
1501240848.999926,1.302231,103.799703
1501240849.999927,1.302231,103.799703
1501240850.999927,1.302231,103.799703
1501240851.999927,1.302231,103.799703
